発生日:2011/ 8/28 発生場所(27.983500, 129.491333) 震度:2
発生日:2011/ 7/16 発生場所(27.983500, 130.288333) 震度:1
発生日:2011/ 8/28 発生場所(27.988500, 129.485333) 震度:2
発生日:2011/ 8/28 発生場所(27.995500, 129.494000) 震度:2
発生日:2011/ 6/13 発生場所(28.000500, 130.257167) 震度:3
発生日:2011/ 7/ 6 発生場所(28.075333, 141.047167) 震度:1
発生日:2011/ 4/19 発生場所(28.084833, 128.064333) 震度:1
発生日:2011/12/12 発生場所(28.098000, 129.539833) 震度:1
発生日:2011/ 4/19 発生場所(28.107833, 128.040667) 震度:1
発生日:2011/12/11 発生場所(28.112667, 129.534833) 震度:3
発生日:2011/12/12 発生場所(28.113500, 129.530500) 震度:1
発生日:2011/12/11 発生場所(28.115667, 129.529667) 震度:1
発生日:2011/12/11 発生場所(28.124500, 129.533500) 震度:1
発生日:2011/ 4/21 発生場所(28.125167, 129.215667) 震度:2
発生日:2011/12/12 発生場所(28.129667, 129.527833) 震度:2
発生日:2011/12/16 発生場所(28.130333, 129.520833) 震度:1
発生日:2011/12/11 発生場所(28.130667, 129.526667) 震度:1
発生日:2011/12/11 発生場所(28.130667, 129.543500) 震度:4
発生日:2011/12/11 発生場所(28.130833, 129.511500) 震度:3
発生日:2011/12/11 発生場所(28.131167, 129.532667) 震度:2
発生日:2011/12/12 発生場所(28.136167, 129.532167) 震度:1
発生日:2011/ 3/16 発生場所(28.189000, 128.802667) 震度:2
発生日:2011/ 7/16 発生場所(28.287000, 129.444167) 震度:2
発生日:2011/ 6/ 9 発生場所(28.301167, 129.560000) 震度:2
発生日:2011/11/ 6 発生場所(28.311000, 129.412500) 震度:1
発生日:2011/ 2/ 9 発生場所(28.356000, 129.542500) 震度:1
発生日:2011/ 3/24 発生場所(28.413167, 128.793667) 震度:2
発生日:2011/ 3/26 発生場所(28.427833, 129.544167) 震度:2
発生日:2011/ 7/10 発生場所(28.565167, 129.495667) 震度:1
発生日:2011/12/14 発生場所(28.650667, 129.591833) 震度:2
発生日:2011/ 3/ 6 発生場所(28.659667, 129.199667) 震度:1
発生日:2011/ 5/ 2 発生場所(28.662667, 129.590667) 震度:2
発生日:2011/ 5/ 7 発生場所(28.667167, 129.591833) 震度:1
発生日:2011/12/20 発生場所(28.690500, 128.624500) 震度:2
発生日:2011/10/30 発生場所(28.750333, 128.587667) 震度:1
発生日:2011/ 3/21 発生場所(29.067500, 129.441500) 震度:1
発生日:2011/ 3/ 7 発生場所(29.080167, 129.459833) 震度:2
発生日:2011/ 4/ 6 発生場所(29.084167, 129.529000) 震度:1
発生日:2011/ 5/ 9 発生場所(29.087000, 129.429500) 震度:1
発生日:2011/ 5/ 6 発生場所(29.088000, 129.421000) 震度:1
発生日:2011/ 3/24 発生場所(29.088167, 129.406000) 震度:1
発生日:2011/ 3/ 7 発生場所(29.088667, 129.458000) 震度:3
発生日:2011/ 3/ 7 発生場所(29.089500, 129.455167) 震度:3
発生日:2011/11/30 発生場所(29.095667, 129.532667) 震度:1
発生日:2011/ 4/ 6 発生場所(29.099500, 129.514833) 震度:1
発生日:2011/ 3/24 発生場所(29.103333, 129.428833) 震度:1
発生日:2011/ 4/ 6 発生場所(29.120000, 129.441833) 震度:2
発生日:2011/ 6/12 発生場所(29.140333, 129.203167) 震度:2
発生日:2011/ 3/11 発生場所(29.144500, 129.133333) 震度:1
発生日:2011/ 3/13 発生場所(29.184500, 129.201000) 震度:1
発生日:2011/ 6/14 発生場所(29.200833, 129.220500) 震度:1
発生日:2011/ 3/11 発生場所(29.201000, 129.129500) 震度:3
発生日:2011/ 6/14 発生場所(29.207000, 129.189667) 震度:1
発生日:2011/ 2/ 4 発生場所(29.207167, 130.307500) 震度:3
発生日:2011/10/ 7 発生場所(29.208000, 130.455833) 震度:1
発生日:2011/ 3/11 発生場所(29.208167, 129.141000) 震度:2
発生日:2011/ 6/14 発生場所(29.224500, 129.211667) 震度:2
発生日:2011/ 6/ 1 発生場所(29.226167, 129.292000) 震度:1
発生日:2011/ 3/ 6 発生場所(29.238333, 129.239000) 震度:1
発生日:2011/ 3/ 2 発生場所(29.246167, 130.506667) 震度:1
発生日:2011/ 3/11 発生場所(29.248000, 129.245333) 震度:1
発生日:2011/ 5/28 発生場所(29.249167, 129.205000) 震度:2
発生日:2011/12/19 発生場所(29.251000, 129.167333) 震度:1
発生日:2011/12/ 6 発生場所(29.260833, 129.150833) 震度:1
発生日:2011/ 5/28 発生場所(29.276833, 129.231000) 震度:1
発生日:2011/ 2/11 発生場所(29.328167, 129.991167) 震度:1
